SCINAME,O,U,F,M,E,S,N,W,H,D,Q
Dendrocoptes auriceps,0,0,0,0,0,0,0,0,1,0,0
Dendrocoptes medius,0,1,0,0,0,0,0,0,0,0,0
Dendrocoptes dorae,0,0,0,0,0,0,0,1,0,0,0
Chloropicus namaquus,0,0,1,0,0,0,0,0,0,0,0
Chloropicus xantholophus,0,0,1,0,0,0,0,0,0,0,0
Chloropicus pyrrhogaster,0,0,1,0,0,0,0,0,0,0,0
Picoides dorsalis,0,0,0,1,0,0,0,0,0,0,0
Yungipicus kizuki,0,0,0,0,1,0,0,0,0,0,0
Yungipicus moluccensis,0,0,0,0,0,1,0,0,0,0,0
Yungipicus maculatus,0,0,0,0,0,1,0,0,0,0,0
Melanerpes santacruzi,0,0,0,1,0,0,0,0,0,0,0
Sphyrapicus varius,0,0,0,1,0,0,0,0,0,0,0
Sasia africana,0,0,1,0,0,0,0,0,0,0,0
Hypsipetes thompsoni,0,0,0,0,0,1,0,0,0,0,0
Hypsipetes guimarasensis,0,0,0,0,0,1,0,0,0,0,0
Hypsipetes mindorensis,0,0,0,0,0,1,0,0,0,0,0
Hemixos leucogrammicus,0,0,0,0,0,1,0,0,0,0,0
Iole finschii,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus tricolor,0,0,1,0,0,0,0,0,0,0,0
Pycnonotus pseudosimplex,0,0,0,0,0,1,0,0,0,0,0
Ixodia cyaniventris,0,0,0,0,0,1,0,0,0,0,0
Ixodia squamata,0,0,0,0,0,1,0,0,0,0,0
Rubigula gularis,0,0,0,0,0,1,0,0,0,0,0
Rubigula melanicterus,0,0,0,0,0,1,0,0,0,0,0
Rubigula montis,0,0,0,0,0,1,0,0,0,0,0
Rubigula dispar,0,0,0,0,0,1,0,0,0,0,0
Ixodia erythropthalmos,0,0,0,0,0,1,0,0,0,0,0
Nok hualon,0,0,0,0,0,1,0,0,0,0,0
Brachypodius melanocephalos,0,0,0,0,0,1,0,0,0,0,0
Phyllastrephus alfredi,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus placidus,0,0,1,0,0,0,0,0,0,0,0
Phyllastrephus scandens,0,0,1,0,0,0,0,0,0,0,0
Catharus bicknelli,0,0,0,1,0,0,0,0,0,0,0
Catharus fuscescens,0,0,0,1,0,0,0,0,0,0,0
Catharus minimus,0,0,0,1,0,0,0,0,0,0,0
Catharus ustulatus,0,0,0,1,0,0,0,0,0,0,0
Hylocichla mustelina,0,0,0,1,0,0,0,0,0,0,0
Turdus iliacus,0,1,0,0,0,0,0,0,0,0,0
Turdus subalaris,0,0,0,1,0,0,0,0,0,0,0
Turdus daguae,0,0,0,1,0,0,0,0,0,0,0
Turdus atrogularis,0,1,0,0,0,0,0,0,0,0,0
Turdus eunomus,0,1,0,0,0,0,0,0,0,0,0
Turdus naumanni,0,1,0,0,0,0,0,0,0,0,0
Turdus chrysolaus,0,0,0,0,1,0,0,0,0,0,0
Turdus feae,0,0,0,0,1,0,0,0,0,0,0
Turdus obscurus,0,1,0,0,0,0,0,0,0,0,0
Turdus cardis,0,0,0,0,1,0,0,0,0,0,0
Turdus hortulorum,0,0,0,0,1,0,0,0,0,0,0
Turdus unicolor,0,0,0,0,0,0,0,0,1,0,0
Turdus litsitsirupa,0,0,1,0,0,0,0,0,0,0,0
Geokichla sibirica,0,1,0,0,0,0,0,0,0,0,0
Geokichla wardii,0,0,0,0,0,0,0,0,1,0,0
Zoothera heinrichi,0,0,0,0,0,1,0,0,0,0,0
Zoothera griseiceps,0,0,0,0,0,0,0,0,0,1,0
Phylloscopus chloronotus,0,0,0,0,0,0,0,0,1,0,0
Phylloscopus subviridis,0,0,0,0,0,0,0,0,1,0,0
Phylloscopus inornatus,0,1,0,0,0,0,0,0,0,0,0
Phylloscopus affinis,0,0,0,0,0,0,0,0,1,0,0
Phylloscopus griseolus,0,0,0,0,0,0,1,0,0,0,0
Phylloscopus tytleri,0,0,0,0,0,0,0,0,1,0,0
Phylloscopus ibericus,0,1,0,0,0,0,0,0,0,0,0
Phylloscopus trochilus,0,1,0,0,0,0,0,0,0,0,0
Phylloscopus neglectus,0,0,0,0,0,0,0,1,0,0,0
Phylloscopus bonelli,0,1,0,0,0,0,0,0,0,0,0
Phylloscopus sibilatrix,0,1,0,0,0,0,0,0,0,0,0
Phylloscopus makirensis,1,0,0,0,0,0,0,0,0,0,0
Phylloscopus claudiae,0,0,0,0,1,0,0,0,0,0,0
Phylloscopus goodsoni,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus occipitalis,0,0,0,0,0,0,0,0,1,0,0
Phylloscopus borealis,0,1,0,0,0,0,0,0,0,0,0
Phylloscopus examinandus,0,1,0,0,0,0,0,0,0,0,0
Phylloscopus xanthodryas,0,0,0,0,1,0,0,0,0,0,0
Phylloscopus borealoides,0,0,0,0,1,0,0,0,0,0,0
Phylloscopus tenellipes,0,0,0,0,1,0,0,0,0,0,0
Phylloscopus emeiensis,0,0,0,0,0,0,0,0,0,1,0
Phylloscopus nitidus,0,0,0,0,0,0,0,1,0,0,0
Phylloscopus ijimae,0,0,0,0,1,0,0,0,0,0,0
Phylloscopus burkii,0,0,0,0,0,0,0,0,1,0,0
Horornis vulcanius,0,0,0,0,0,1,0,0,0,0,0
Urosphena neumanni,0,0,1,0,0,0,0,0,0,0,0
Urosphena squameiceps,0,0,0,0,1,0,0,0,0,0,0
Locustella kashmirensis,0,0,0,0,0,0,0,0,1,0,0
Locustella alfredi,0,0,1,0,0,0,0,0,0,0,0
Locustella fluviatilis,0,1,0,0,0,0,0,0,0,0,0
Helopsaltes ochotensis,0,1,0,0,0,0,0,0,0,0,0
Helopsaltes pleskei,0,0,0,0,1,0,0,0,0,0,0
Helopsaltes pryeri,0,0,0,0,1,0,0,0,0,0,0
Catriscus brevirostris,0,0,1,0,0,0,0,0,0,0,0
Cincloramphus mariae,1,0,0,0,0,0,0,0,0,0,0
Cincloramphus rufus,1,0,0,0,0,0,0,0,0,0,0
Cincloramphus whitneyi,1,0,0,0,0,0,0,0,0,0,0
Cincloramphus grosvenori,1,0,0,0,0,0,0,0,0,0,0
Cincloramphus rubiginosus,1,0,0,0,0,0,0,0,0,0,0
Dicrurus fuscipennis,0,0,1,0,0,0,0,0,0,0,0
Dicrurus aldabranus,0,0,1,0,0,0,0,0,0,0,0
Dicrurus waldenii,0,0,1,0,0,0,0,0,0,0,0
Lalage newtoni,0,0,1,0,0,0,0,0,0,0,0
Lalage typica,0,0,1,0,0,0,0,0,0,0,0
Lalage sharpei,1,0,0,0,0,0,0,0,0,0,0
Edolisoma sula,0,0,0,0,0,1,0,0,0,0,0
Edolisoma dispar,0,0,0,0,0,1,0,0,0,0,0
Coracina schistacea,0,0,0,0,0,1,0,0,0,0,0
Pericrocotus divaricatus,0,0,0,0,1,0,0,0,0,0,0
Corvus fuscicapillus,0,0,0,0,0,1,0,0,0,0,0
Corvus unicolor,0,0,0,0,0,1,0,0,0,0,0
Corvus kubaryi,0,0,0,0,0,1,0,0,0,0,0
Garrulus lidthi,0,0,0,0,0,1,0,0,0,0,0
Serinus canaria,0,0,1,0,0,0,0,0,0,0,0
Rhynchostruthus socotranus,0,0,1,0,0,0,0,0,0,0,0
Crithagra concolor,0,0,1,0,0,0,0,0,0,0,0
Pyrrhula murina,0,1,0,0,0,0,0,0,0,0,0
Dysmorodrepanis munroi,0,0,0,1,0,0,0,0,0,0,0
Telespiza cantans,0,0,0,1,0,0,0,0,0,0,0
Telespiza ultima,0,0,0,1,0,0,0,0,0,0,0
Fringilla teydea,0,0,1,0,0,0,0,0,0,0,0
Copsychus sechellarum,0,0,1,0,0,0,0,0,0,0,0
Humblotia flavirostris,0,0,1,0,0,0,0,0,0,0,0
Larvivora komadori,0,0,0,0,0,1,0,0,0,0,0
Saxicola dacotiae,0,0,1,0,0,0,0,0,0,0,0
Saxicola tectes,0,0,1,0,0,0,0,0,0,0,0
Ficedula riedeli,0,0,0,0,0,1,0,0,0,0,0
Dendrocopos noguchii,0,0,0,0,0,1,0,0,0,0,0
Melanerpes herminieri,0,0,0,1,0,0,0,0,0,0,0
Hypsipetes borbonicus,0,0,1,0,0,0,0,0,0,0,0
Hypsipetes olivaceus,0,0,1,0,0,0,0,0,0,0,0
Hypsipetes moheliensis,0,0,1,0,0,0,0,0,0,0,0
Hypsipetes parvirostris,0,0,1,0,0,0,0,0,0,0,0
Turdus lherminieri,0,0,0,1,0,0,0,0,0,0,0
Turdus bewsheri,0,0,1,0,0,0,0,0,0,0,0
Turdus eremita,0,0,0,1,0,0,0,0,0,0,0
Turdus olivaceofuscus,0,0,1,0,0,0,0,0,0,0,0
Turdus xanthorhynchus,0,0,1,0,0,0,0,0,0,0,0
Turdus celaenops,0,0,0,0,1,0,0,0,0,0,0
Geokichla schistacea,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus canariensis,0,0,1,0,0,0,0,0,0,0,0
Phylloscopus amoenus,0,0,0,0,0,1,0,0,0,0,0
Phylloscopus maforensis,0,0,0,0,0,1,0,0,0,0,0
Horornis carolinae,0,0,0,0,0,1,0,0,0,0,0
